,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
192,AFG,Asia,Afghanistan,2020-07-20,35475.0,174.0,1181.0,17.0,911.29,4.47,30.338,0.43700000000000006,,,,,,,,,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
326,ALB,Europe,Albania,2020-07-20,4090.0,82.0,112.0,1.0,1421.225,28.494,38.919000000000004,0.34700000000000003,,,,,,,,,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57
524,DZA,Africa,Algeria,2020-07-20,23084.0,535.0,1078.0,10.0,526.418,12.2,24.583000000000002,0.228,,,,,,,,,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88
653,AND,Europe,Andorra,2020-07-20,880.0,0.0,52.0,0.0,11389.374,0.0,673.008,0.0,,,,,,,,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73
774,AGO,Africa,Angola,2020-07-20,705.0,18.0,29.0,0.0,21.451,0.5479999999999999,0.882,0.0,,,,,,,,,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15
1013,ATG,North America,Antigua and Barbuda,2020-07-20,76.0,0.0,3.0,0.0,776.08,0.0,30.635,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02
1149,ARG,South America,Argentina,2020-07-20,122511.0,3223.0,2246.0,42.0,2710.6740000000004,71.312,49.695,0.929,552306.0,11068.0,12.22,0.245,11126.0,0.24600000000000002,tests performed,,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67
1343,ARM,Asia,Armenia,2020-07-20,34877.0,415.0,641.0,10.0,11769.911,140.05,216.31799999999998,3.375,,,,,,,,,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09
1463,ABW,North America,Aruba,2020-07-20,113.0,5.0,3.0,0.0,1058.389,46.831,28.099,0.0,,,,,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29
1666,AUS,Oceania,Australia,2020-07-20,11802.0,361.0,122.0,4.0,462.82599999999996,14.157,4.784,0.157,,,,,,,,,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44
1869,AUT,Europe,Austria,2020-07-20,19571.0,63.0,711.0,0.0,2173.01,6.995,78.944,0.0,798436.0,49767.0,88.652,5.526,13974.0,1.5519999999999998,tests performed,,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54
2065,AZE,Asia,Azerbaijan,2020-07-20,27521.0,388.0,354.0,5.0,2714.323,38.266999999999996,34.914,0.493,,,,,,,,,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0
2190,BHS,North America,Bahamas,2020-07-20,153.0,15.0,11.0,0.0,389.06699999999995,38.144,27.971999999999998,0.0,,,,,,,,,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92
2392,BHR,Asia,Bahrain,2020-07-20,36422.0,418.0,126.0,2.0,21404.773999999998,245.65400000000002,74.04899999999999,1.175,726140.0,8417.0,426.744,4.947,8556.0,5.0280000000000005,units unclear,,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29
2531,BGD,Asia,Bangladesh,2020-07-20,204525.0,2459.0,2618.0,37.0,1241.883,14.931,15.897,0.225,,,,,,,,,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
2656,BRB,North America,Barbados,2020-07-20,105.0,1.0,7.0,0.0,365.381,3.48,24.359,0.0,,,,,,,,54.63,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
2859,BLR,Europe,Belarus,2020-07-20,66095.0,142.0,499.0,4.0,6994.682,15.027999999999999,52.808,0.423,,,,,,,,,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79
3062,BEL,Europe,Belgium,2020-07-20,63893.0,187.0,9800.0,0.0,5512.951999999999,16.135,845.585,0.0,,,,,,,,42.59,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.63
3181,BLZ,North America,Belize,2020-07-20,40.0,0.0,2.0,0.0,100.598,0.0,5.03,0.0,,,,,,,,,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,,,90.083,1.3,74.62
3307,BEN,Africa,Benin,2020-07-20,1602.0,0.0,31.0,0.0,132.143,0.0,2.557,0.0,,,,,,,,,12123198.0,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.5,61.77
3430,BMU,North America,Bermuda,2020-07-20,153.0,0.0,9.0,0.0,2456.924,0.0,144.525,0.0,,,,,,,,48.15,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59
3690,BOL,South America,Bolivia,2020-07-20,59582.0,1444.0,2151.0,45.0,5104.245,123.704,184.271,3.855,,,,,,,,,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,,,25.383000000000003,1.1,71.51
3930,BIH,Europe,Bosnia and Herzegovina,2020-07-20,8164.0,256.0,245.0,2.0,2488.406,78.029,74.67699999999999,0.61,,,,,,,,,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4
4041,BWA,Africa,Botswana,2020-07-20,522.0,0.0,1.0,0.0,221.97400000000002,0.0,0.425,0.0,,,,,,,,,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59
4244,BRA,South America,Brazil,2020-07-20,2098389.0,23529.0,79488.0,716.0,9872.011999999999,110.694,373.957,3.3680000000000003,,,,,,,,,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,75.88
4360,VGB,North America,British Virgin Islands,2020-07-20,8.0,0.0,1.0,0.0,264.577,0.0,33.071999999999996,0.0,,,,,,,,,30237.0,207.97299999999998,,,,,,,13.67,,,,,79.07
4492,BRN,Asia,Brunei,2020-07-20,141.0,0.0,3.0,0.0,322.298,0.0,6.857,0.0,,,,,,,,,437483.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,,201.285,12.79,2.0,30.9,,2.7,75.86
4625,BGR,Europe,Bulgaria,2020-07-20,8733.0,95.0,300.0,1.0,1256.828,13.672,43.175,0.14400000000000002,206521.0,3155.0,29.721999999999998,0.45399999999999996,4312.0,0.621,tests performed,36.11,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05
4755,BFA,Africa,Burkina Faso,2020-07-20,1065.0,13.0,53.0,0.0,50.949,0.622,2.535,0.0,,,,,,,,,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58
4866,BDI,Africa,Burundi,2020-07-20,310.0,0.0,1.0,0.0,26.070999999999998,0.0,0.084,0.0,,,,,,,,,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58
5190,CMR,Africa,Cameroon,2020-07-20,16157.0,0.0,373.0,0.0,608.645,0.0,14.050999999999998,0.0,,,,,,,,,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.66099999999997,7.2,,,2.735,1.3,59.29
5393,CAN,North America,Canada,2020-07-20,110338.0,680.0,8852.0,13.0,2923.468,18.017,234.53900000000002,0.344,3520466.0,38738.0,93.277,1.026,43952.0,1.165,people tested,,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43
5515,CPV,Africa,Cape Verde,2020-07-20,2043.0,29.0,21.0,0.0,3674.54,52.159,37.771,0.0,,,,,,,,,555988.0,135.58,25.7,4.46,3.437,6222.554,,182.21900000000002,2.42,2.1,16.5,,2.1,72.98
5638,CYM,North America,Cayman Islands,2020-07-20,203.0,0.0,1.0,0.0,3088.862,0.0,15.216,0.0,,,,,,,,,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92
5765,CAF,Africa,Central African Republic,2020-07-20,4485.0,0.0,55.0,0.0,928.617,0.0,11.388,0.0,,,,,,,,,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.602999999999998,1.0,53.28
5888,TCD,Africa,Chad,2020-07-20,889.0,0.0,75.0,0.0,54.122,0.0,4.566,0.0,,,,,,,,,16425859.0,11.833,16.7,2.4859999999999998,1.446,1768.1529999999998,38.4,280.995,6.1,,,5.818,,54.24
6026,CHL,South America,Chile,2020-07-20,330930.0,4391.0,8503.0,156.0,17311.487,229.7,444.806,8.161,1420390.0,16343.0,74.303,0.855,15732.0,0.823,tests performed,,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18
6229,CHN,Asia,China,2020-07-20,85613.0,130.0,4646.0,0.0,59.481,0.09,3.228,0.0,,,,,,,,,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91
6367,COL,South America,Colombia,2020-07-20,197278.0,6578.0,6736.0,220.0,3877.099,129.27700000000002,132.382,4.324,,,,,,,,,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29
6447,COM,Africa,Comoros,2020-07-20,334.0,6.0,7.0,0.0,384.087,6.9,8.05,0.0,,,,,,,,,869595.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2,64.32
6574,COG,Africa,Congo,2020-07-20,2633.0,0.0,49.0,0.0,477.158,0.0,8.88,0.0,,,,,,,,,5518092.0,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57
6709,CRI,North America,Costa Rica,2020-07-20,11114.0,563.0,62.0,8.0,2181.734,110.52,12.171,1.57,,,,,,,,,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28
6838,CIV,Africa,Cote d'Ivoire,2020-07-20,14119.0,207.0,92.0,1.0,535.251,7.847,3.488,0.038,,,,,,,,,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,303.74,2.42,,,19.351,,57.78
7041,HRV,Europe,Croatia,2020-07-20,4354.0,119.0,120.0,0.0,1060.588,28.987,29.230999999999998,0.0,104132.0,1028.0,25.365,0.25,1422.0,0.34600000000000003,people tested,26.85,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49
7169,CUB,North America,Cuba,2020-07-20,2446.0,1.0,87.0,0.0,215.952,0.08800000000000001,7.681,0.0,,,,,,,,,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8
7288,CUW,North America,Curacao,2020-07-20,28.0,2.0,1.0,0.0,170.628,12.187999999999999,6.093999999999999,0.0,,,,,,,,,164100.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88
7419,CYP,Europe,Cyprus,2020-07-20,1038.0,1.0,19.0,0.0,1185.068,1.1420000000000001,21.691999999999997,0.0,,,,,,,,52.78,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98
7622,CZE,Europe,Czech Republic,2020-07-20,13945.0,90.0,359.0,1.0,1302.178,8.404,33.523,0.09300000000000001,,,,,,,,,10708982.0,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,79.38
7752,COD,Africa,Democratic Republic of Congo,2020-07-20,8402.0,79.0,193.0,1.0,93.81299999999999,0.882,2.155,0.011000000000000001,,,,,,,,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68
7955,DNK,Europe,Denmark,2020-07-20,13173.0,0.0,611.0,0.0,2274.264,0.0,105.48700000000001,0.0,,,,,,,,60.19,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,80.9
8079,DJI,Africa,Djibouti,2020-07-20,5011.0,8.0,56.0,0.0,5071.852,8.097000000000001,56.68,0.0,,,,,,,,,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11
8393,DOM,North America,Dominican Republic,2020-07-20,52855.0,1336.0,981.0,10.0,4872.37,123.15700000000001,90.432,0.922,,,,,,,,,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08
8591,ECU,South America,Ecuador,2020-07-20,74013.0,631.0,5313.0,31.0,4195.021,35.765,301.138,1.757,,,,,,,,,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01
8790,EGY,Africa,Egypt,2020-07-20,87775.0,603.0,4302.0,51.0,857.727,5.892,42.038999999999994,0.498,,,,,,,,,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99
8914,SLV,North America,El Salvador,2020-07-20,11846.0,338.0,344.0,20.0,1826.339,52.111000000000004,53.036,3.083,,,,,,,,,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32
9042,GNQ,Africa,Equatorial Guinea,2020-07-20,3071.0,0.0,51.0,0.0,2188.904,0.0,36.351,0.0,,,,,,,,,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74
9366,EST,Europe,Estonia,2020-07-20,2021.0,0.0,69.0,0.0,1523.513,0.0,52.015,0.0,,,,,,,,,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74
9495,ETH,Africa,Ethiopia,2020-07-20,9503.0,356.0,167.0,4.0,82.661,3.097,1.453,0.035,,,,,,,,,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6
10116,FIN,Europe,Finland,2020-07-20,7338.0,20.0,328.0,0.0,1324.3770000000002,3.61,59.198,0.0,,,,,,,,,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91
10319,FRA,Europe,France,2020-07-20,174674.0,0.0,30152.0,0.0,2676.032,0.0,461.93300000000005,0.0,,,,,,,,,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66
10572,GAB,Africa,Gabon,2020-07-20,6315.0,0.0,46.0,0.0,2837.2740000000003,0.0,20.666999999999998,0.0,,,,,,,,,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47
10697,GMB,Africa,Gambia,2020-07-20,93.0,0.0,4.0,0.0,38.483000000000004,0.0,1.655,0.0,,,,,,,,,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05
10897,GEO,Asia,Georgia,2020-07-20,1028.0,0.0,15.0,0.0,257.697,0.0,3.76,0.0,,,,,,,,,3989175.0,65.032,38.7,14.864,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77
11100,DEU,Europe,Germany,2020-07-20,201823.0,249.0,9086.0,2.0,2408.851,2.972,108.446,0.024,,,,,,,,39.35,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33
11229,GHA,Africa,Ghana,2020-07-20,27667.0,607.0,148.0,3.0,890.3889999999999,19.535,4.763,0.09699999999999999,,,,,,,,,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07
11555,GRC,Europe,Greece,2020-07-20,4007.0,24.0,194.0,0.0,384.436,2.303,18.613,0.0,,,,,,,,,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24
11922,GUM,Oceania,Guam,2020-07-20,319.0,4.0,5.0,0.0,1890.001,23.699,29.624000000000002,0.0,,,,,,,,,168783.0,304.128,31.4,9.551,5.492999999999999,,,310.496,21.52,,,,,80.07
12050,GTM,North America,Guatemala,2020-07-20,38677.0,635.0,1485.0,36.0,2158.849,35.444,82.889,2.009,,,,,,,,,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,155.898,10.18,,,76.665,0.6,74.3
12173,GGY,Europe,Guernsey,2020-07-20,252.0,0.0,13.0,0.0,3758.277,0.0,193.87900000000002,0.0,,,,,,,,,67052.0,,,,,,,,,,,,,
12301,GIN,Africa,Guinea,2020-07-20,6544.0,53.0,39.0,0.0,498.295,4.0360000000000005,2.97,0.0,,,,,,,,,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6
12417,GNB,Africa,Guinea-Bissau,2020-07-20,1927.0,0.0,26.0,0.0,979.168,0.0,13.210999999999999,0.0,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32
12545,GUY,South America,Guyana,2020-07-20,336.0,9.0,19.0,0.0,427.17699999999996,11.442,24.156,0.0,,,,,,,,,786559.0,3.952,26.3,5.305,2.8369999999999997,7435.047,,373.159,11.62,,,77.15899999999999,1.6,69.91
12668,HTI,North America,Haiti,2020-07-20,7053.0,0.0,146.0,0.0,618.547,0.0,12.804,0.0,,,,,,,,,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0
